N;F0;PER;d0;v0;collision
6;-8;0.410000;7748000;14;0
3;-4;0.240000;6488000;45;0
5;-3;0.220000;4982000;46;0
3;-3;0.240000;5687000;81;0
3;-5;0.460000;6827000;72;0
5;-3;0.350000;4718000;80;0
5;-5;0.460000;8929000;10;0
6;-4;0.290000;8501000;86;0
6;-5;0.360000;5860000;43;0
7;-7;0.380000;6400000;68;0
8;-6;0.300000;4238000;67;0
3;-7;0.230000;8765000;77;0
5;-8;0.370000;8898000;53;0
4;-8;0.490000;8626000;47;0
5;-2;0.260000;8895000;79;0
5;-4;0.210000;4158000;85;0
5;-1;0.240000;7382000;80;0
6;-8;0.220000;8779000;23;0
6;-4;0.390000;8039000;80;0
6;-4;0.260000;7518000;82;0
3;-1;0.310000;6102000;51;0
6;-7;0.310000;8414000;40;0
4;-3;0.480000;5174000;18;0
6;-3;0.260000;5950000;34;0
7;-2;0.350000;4252000;77;0
7;-5;0.270000;4608000;37;0
5;-8;0.450000;7708000;29;0
4;-6;0.240000;5793000;34;0
4;-8;0.400000;6299000;64;0
3;-6;0.310000;6621000;64;0
3;-8;0.440000;7843000;82;1
3;-6;0.420000;6948000;36;0
7;-5;0.370000;4228000;18;0
4;-2;0.310000;4638000;33;0
6;-8;0.300000;8150000;74;0
7;-5;0.440000;4622000;65;1
8;-8;0.260000;6665000;21;0
8;-8;0.480000;5082000;40;0
3;-6;0.370000;7958000;88;0
4;-3;0.230000;8248000;80;0
4;-5;0.250000;8011000;20;0
4;-3;0.210000;6177000;48;0
6;-6;0.300000;6556000;29;0
8;-4;0.340000;5525000;60;0
5;-2;0.200000;8892000;84;0
6;-4;0.300000;8080000;54;0
3;-7;0.350000;4345000;34;0
6;-6;0.220000;8428000;53;0
6;-3;0.240000;8358000;45;0
8;-3;0.490000;6726000;55;0
4;-7;0.230000;8003000;49;0
3;-8;0.210000;6686000;60;0
5;-2;0.340000;6825000;76;0
4;-8;0.470000;6754000;41;0
5;-6;0.430000;7414000;29;0
8;-3;0.390000;7881000;85;0
3;-8;0.330000;7423000;15;0
3;-4;0.260000;7160000;36;0
3;-7;0.350000;5449000;79;0
3;-4;0.440000;8548000;72;0
5;-3;0.460000;6599000;56;0
3;-8;0.250000;5075000;44;0
5;-7;0.310000;4720000;29;0
4;-4;0.360000;8301000;38;0
6;-3;0.310000;8970000;66;0
5;-7;0.490000;5729000;83;1
8;-5;0.380000;8636000;12;0
5;-7;0.230000;6609000;14;0
4;-5;0.340000;8324000;24;0
8;-6;0.450000;8838000;47;0
4;-6;0.450000;8452000;66;0
7;-2;0.490000;7583000;27;0
6;-6;0.330000;5435000;67;1
5;-5;0.260000;5156000;48;0
5;-7;0.430000;8843000;33;0
7;-2;0.460000;6880000;57;0
6;-2;0.470000;7072000;46;0
6;-2;0.360000;4762000;43;0
7;-1;0.260000;4174000;36;0
7;-2;0.290000;4129000;28;0
4;-3;0.440000;4965000;79;0
4;-2;0.420000;8858000;21;0
8;-4;0.450000;4945000;16;0
8;-1;0.250000;6830000;49;0
8;-6;0.450000;8552000;19;0
5;-2;0.300000;7120000;14;0
8;-5;0.390000;7915000;18;0
6;-2;0.370000;6232000;88;0
3;-4;0.480000;4641000;53;0
7;-3;0.310000;4188000;89;0
4;-6;0.340000;6829000;52;0
7;-6;0.400000;6692000;49;0
7;-5;0.420000;7209000;33;0
7;-5;0.210000;5130000;68;0
3;-6;0.300000;5723000;60;0
4;-3;0.200000;4939000;42;0
5;-8;0.220000;7784000;16;0
4;-2;0.330000;4107000;43;0
3;-6;0.330000;8707000;21;0
6;-2;0.330000;8299000;79;0
8;-6;0.470000;5574000;34;0
4;-5;0.450000;6957000;16;0
5;-6;0.260000;5984000;68;0
6;-4;0.300000;4919000;19;0
7;-2;0.260000;7285000;42;0
3;-4;0.430000;5982000;27;0
3;-8;0.350000;4415000;59;0
6;-4;0.400000;8176000;79;0
3;-6;0.240000;4413000;86;0
7;-3;0.330000;4598000;15;0
4;-2;0.420000;8840000;51;0
5;-7;0.420000;8641000;80;0
8;-6;0.380000;6410000;85;0
5;-5;0.360000;5303000;28;0
7;-5;0.430000;4388000;21;0
6;-2;0.340000;5691000;76;0
6;-7;0.330000;5735000;22;0
8;-8;0.420000;8828000;14;0
4;-2;0.380000;4096000;59;0
5;-7;0.250000;6254000;72;0
3;-5;0.360000;7969000;42;0
7;-2;0.340000;4168000;54;0
6;-2;0.340000;8364000;49;0
6;-5;0.430000;6279000;31;0
8;-1;0.220000;7075000;87;0
7;-3;0.250000;8506000;38;0
8;-4;0.370000;4847000;26;0
4;-6;0.380000;8100000;87;0
6;-5;0.320000;7057000;64;0
4;-5;0.490000;8836000;42;0
5;-7;0.210000;6635000;28;0
8;-2;0.410000;8570000;88;0
6;-5;0.220000;7814000;31;0
3;-7;0.460000;6347000;53;0
8;-8;0.330000;5650000;84;1
6;-5;0.460000;7881000;78;0
8;-4;0.400000;5104000;59;0
3;-2;0.290000;5519000;27;0
5;-6;0.460000;4799000;85;0
6;-6;0.220000;4848000;26;0
6;-2;0.340000;6376000;65;0
3;-4;0.210000;5072000;63;0
6;-2;0.420000;8672000;13;0
8;-7;0.370000;5358000;81;1
7;-7;0.480000;5708000;14;0
8;-1;0.480000;5498000;43;0
6;-5;0.290000;7927000;46;0
4;-2;0.250000;8402000;63;0
3;-4;0.210000;4060000;50;0
4;-2;0.430000;5195000;41;0
5;-7;0.300000;4071000;50;1
4;-8;0.300000;5990000;17;0
6;-4;0.450000;4142000;17;0
4;-4;0.450000;7556000;49;0
5;-7;0.330000;6666000;29;0
7;-8;0.210000;8460000;20;0
4;-6;0.450000;7816000;46;0
5;-7;0.210000;5175000;16;0
6;-2;0.490000;5787000;62;0
4;-2;0.420000;4747000;24;0
8;-8;0.370000;5402000;11;0
6;-3;0.290000;4042000;15;0
6;-7;0.470000;5439000;11;0
8;-4;0.220000;5673000;43;0
5;-5;0.310000;6253000;35;0
6;-3;0.400000;4371000;68;0
8;-2;0.340000;5828000;85;0
8;-7;0.410000;4347000;45;0
3;-4;0.410000;6442000;63;0
7;-5;0.310000;4347000;31;0
8;-4;0.330000;8685000;29;0
5;-4;0.250000;5960000;36;0
3;-6;0.360000;7645000;86;0
5;-8;0.490000;7173000;28;0
8;-8;0.280000;5891000;27;0
3;-6;0.210000;5429000;77;0
8;-8;0.430000;6547000;28;0
5;-3;0.370000;7626000;23;0
4;-1;0.200000;5245000;52;0
8;-6;0.240000;8809000;61;0
6;-1;0.440000;6120000;63;0
8;-8;0.480000;7361000;82;1
6;-8;0.360000;6852000;84;0
3;-6;0.250000;6832000;70;0
6;-7;0.470000;5457000;21;0
4;-6;0.210000;7337000;47;0
4;-6;0.380000;6566000;24;0
4;-2;0.430000;5745000;66;0
4;-4;0.390000;8903000;14;0
6;-4;0.430000;8053000;15;0
3;-6;0.240000;6102000;52;0
4;-4;0.460000;4711000;83;0
8;-5;0.210000;4955000;34;0
6;-1;0.220000;6298000;49;0
8;-7;0.240000;6816000;33;0
4;-6;0.260000;7320000;57;0
7;-1;0.250000;5058000;54;0
7;-5;0.470000;7715000;70;1
3;-6;0.340000;4876000;83;0
8;-6;0.260000;7520000;31;0
7;-2;0.460000;4827000;33;0
7;-6;0.370000;8630000;87;0
6;-3;0.240000;4643000;74;0
4;-5;0.360000;5954000;22;0
6;-5;0.360000;7705000;19;0
3;-1;0.380000;5123000;10;0
8;-7;0.380000;7420000;79;0
5;-6;0.370000;8421000;39;0
4;-8;0.480000;7250000;27;0
3;-5;0.460000;8054000;17;0
3;-2;0.330000;4431000;26;0
6;-5;0.390000;5330000;24;0
8;-8;0.320000;6767000;81;0
4;-6;0.280000;5844000;19;0
7;-7;0.410000;8095000;54;0
7;-8;0.220000;7498000;88;1
8;-7;0.410000;4796000;10;0
6;-8;0.390000;8475000;61;0
3;-6;0.240000;4743000;28;0
3;-1;0.440000;7064000;30;0
8;-8;0.380000;5632000;65;1
7;-2;0.430000;4595000;56;0
5;-6;0.390000;5038000;72;1
7;-2;0.210000;5372000;72;0
5;-4;0.380000;4430000;39;0
4;-1;0.300000;8279000;54;0
8;-4;0.340000;4917000;55;0
6;-5;0.430000;5516000;88;0
6;-5;0.430000;5125000;66;1
6;-2;0.340000;8919000;80;0
5;-7;0.440000;8755000;69;0
8;-7;0.230000;6252000;81;0
3;-6;0.440000;4665000;20;0
8;-4;0.270000;6929000;28;0
6;-2;0.450000;5622000;13;0
7;-7;0.330000;4912000;44;0
3;-2;0.480000;4767000;80;0
8;-7;0.400000;5729000;33;0
4;-5;0.280000;6093000;81;0
3;-7;0.350000;5782000;27;0
7;-2;0.270000;8626000;67;0
7;-5;0.430000;6797000;67;1
7;-4;0.400000;7375000;85;0
4;-8;0.320000;6187000;60;0
6;-8;0.410000;7008000;64;0
8;-7;0.460000;5759000;84;1
4;-6;0.440000;5964000;40;0
4;-2;0.220000;6760000;57;0
4;-5;0.200000;4862000;35;0
6;-7;0.380000;6046000;20;0
5;-5;0.210000;8692000;89;0
8;-5;0.230000;6910000;45;0
6;-4;0.260000;4959000;69;0
7;-4;0.360000;8952000;27;0
8;-8;0.220000;6353000;77;0
4;-3;0.350000;6291000;82;0
7;-2;0.440000;7081000;46;0
6;-2;0.430000;4167000;63;0
7;-4;0.280000;5415000;30;0
7;-2;0.350000;7608000;56;0
6;-2;0.420000;4192000;89;0
4;-2;0.360000;6427000;70;0
3;-8;0.210000;4023000;11;0
3;-4;0.260000;5286000;31;0
4;-4;0.220000;4568000;61;0
6;-5;0.480000;6942000;71;1
5;-1;0.330000;4687000;22;0
5;-2;0.250000;6026000;77;0
8;-7;0.360000;5260000;47;0
8;-6;0.380000;5752000;31;0
3;-8;0.270000;5773000;57;0
4;-2;0.490000;4407000;88;0
5;-8;0.280000;7486000;14;0
5;-4;0.280000;8818000;27;0
8;-4;0.350000;6198000;65;0
8;-7;0.460000;7703000;23;0
4;-6;0.240000;8689000;11;0
7;-8;0.430000;4067000;49;1
4;-7;0.390000;4717000;36;0
5;-2;0.260000;6334000;16;0
3;-1;0.450000;8985000;80;0
6;-8;0.260000;5329000;81;0
4;-3;0.240000;4180000;23;0
7;-5;0.200000;4885000;51;0
6;-6;0.440000;6109000;83;1
6;-6;0.470000;6094000;35;0
4;-7;0.390000;7414000;10;0
7;-3;0.420000;4038000;51;0
4;-6;0.400000;4631000;30;0
8;-8;0.360000;5307000;17;0
6;-8;0.250000;7590000;32;0
4;-3;0.410000;4578000;46;0
6;-4;0.280000;8461000;55;0
4;-5;0.490000;5596000;47;0
6;-2;0.300000;7133000;19;0
4;-4;0.360000;6803000;85;1
3;-7;0.340000;8172000;27;0
4;-2;0.280000;4249000;22;0
3;-5;0.410000;6687000;28;0
3;-8;0.240000;8317000;81;0
6;-5;0.390000;6681000;53;0
5;-3;0.480000;7283000;45;0
6;-2;0.290000;8995000;68;0
3;-2;0.250000;4072000;62;0
3;-3;0.470000;5207000;13;0
7;-8;0.340000;6986000;84;0
6;-1;0.250000;5402000;76;0
8;-4;0.280000;8442000;61;0
5;-2;0.450000;7486000;27;0
4;-6;0.350000;5237000;65;0
4;-5;0.370000;5756000;50;0
4;-4;0.300000;5483000;70;0
5;-4;0.240000;7346000;29;0
8;-6;0.420000;6038000;14;0
6;-1;0.400000;7432000;77;0
5;-7;0.240000;8645000;43;0
6;-8;0.380000;5520000;55;0
4;-8;0.450000;7084000;88;0
3;-7;0.390000;6851000;29;0
4;-8;0.340000;4793000;85;1
6;-6;0.450000;8614000;33;0
6;-5;0.340000;6298000;30;0
5;-6;0.260000;7265000;63;0
3;-8;0.260000;4175000;70;0
6;-4;0.440000;5547000;26;0
7;-3;0.470000;5315000;46;0
4;-2;0.290000;8108000;46;0
5;-7;0.230000;6117000;49;0
6;-8;0.250000;6829000;44;0
7;-4;0.430000;6105000;62;0
6;-2;0.320000;6127000;88;0
5;-5;0.240000;7249000;12;0
6;-7;0.340000;6441000;61;0
8;-5;0.370000;6970000;85;0
6;-4;0.270000;7397000;14;0
7;-7;0.480000;5800000;33;0
5;-8;0.280000;5202000;67;0
4;-8;0.290000;4445000;63;0
7;-6;0.290000;6330000;70;0
6;-3;0.450000;7216000;82;0
4;-3;0.310000;6667000;43;0
7;-4;0.250000;8709000;53;0
7;-8;0.210000;8791000;48;0
4;-3;0.450000;8133000;74;0
3;-6;0.490000;7281000;35;0
7;-3;0.450000;4847000;29;0
6;-8;0.250000;6804000;89;0
3;-4;0.200000;4339000;83;0
4;-6;0.270000;6550000;70;0
4;-1;0.230000;7179000;57;0
3;-1;0.290000;7046000;54;0
3;-7;0.320000;4311000;74;1
6;-4;0.450000;6162000;86;1
6;-8;0.300000;6818000;60;0
3;-4;0.470000;5300000;33;0
4;-5;0.460000;8987000;85;0
6;-8;0.220000;8691000;44;0
5;-5;0.400000;7961000;62;0
4;-2;0.270000;7231000;53;0
8;-1;0.250000;7847000;32;0
8;-6;0.470000;8586000;80;1
8;-6;0.340000;5528000;42;0
8;-7;0.430000;8258000;52;0
6;-6;0.410000;7152000;75;0
7;-7;0.340000;6682000;45;0
3;-2;0.370000;8935000;26;0
8;-4;0.220000;4779000;50;0
4;-1;0.250000;5157000;24;0
3;-7;0.380000;5597000;38;0
3;-5;0.410000;8666000;23;0
6;-7;0.300000;5751000;27;0
6;-2;0.480000;7331000;74;0
8;-8;0.330000;8600000;80;0
5;-6;0.350000;8336000;21;0
6;-4;0.300000;5415000;71;0
6;-3;0.280000;8111000;68;0
6;-6;0.420000;6239000;28;0
3;-6;0.390000;5956000;40;0
3;-6;0.350000;8918000;17;0
4;-1;0.480000;8028000;57;0
6;-4;0.410000;7379000;56;0
4;-3;0.310000;7778000;24;0
5;-1;0.270000;5961000;52;0
7;-4;0.420000;6619000;12;0
5;-6;0.480000;8783000;38;0
5;-8;0.490000;6084000;27;0
6;-8;0.450000;6566000;84;1
8;-3;0.440000;6358000;73;0
4;-1;0.260000;6909000;30;0
6;-6;0.230000;5587000;41;0
7;-6;0.240000;4796000;37;0
3;-3;0.260000;5140000;51;0
3;-8;0.480000;8751000;81;1
3;-8;0.310000;8701000;59;0
5;-4;0.480000;7980000;37;0
5;-5;0.400000;4305000;12;0
7;-6;0.270000;7810000;79;0
8;-8;0.400000;5240000;44;0
7;-2;0.490000;5831000;36;0
6;-4;0.380000;6233000;84;0
6;-6;0.230000;4969000;11;0
3;-2;0.410000;6764000;69;0
3;-2;0.270000;8715000;70;0
4;-2;0.410000;7675000;60;0
6;-4;0.260000;6435000;67;0
4;-4;0.430000;5722000;45;0
4;-4;0.220000;5746000;18;0
3;-8;0.410000;5572000;45;0
6;-8;0.470000;7145000;78;1
3;-3;0.240000;7219000;20;0
6;-1;0.230000;4502000;88;0
8;-3;0.460000;7768000;57;0
3;-1;0.240000;8727000;44;0
4;-8;0.440000;8934000;69;0
7;-4;0.330000;8747000;84;0
8;-6;0.470000;5037000;63;1
5;-8;0.360000;5016000;89;1
5;-7;0.340000;6396000;32;0
4;-1;0.290000;6637000;76;0
7;-4;0.260000;7334000;24;0
4;-7;0.370000;8463000;41;0
8;-3;0.410000;7607000;83;0
8;-6;0.390000;6101000;44;0
3;-5;0.480000;6501000;25;0
6;-6;0.350000;5783000;56;0
7;-4;0.250000;5785000;82;0
3;-4;0.210000;5862000;36;0
4;-6;0.420000;6987000;67;0
8;-8;0.380000;5122000;14;0
5;-2;0.380000;5859000;75;0
8;-1;0.470000;4138000;78;0
8;-7;0.260000;6454000;80;0
7;-1;0.400000;6041000;63;0
7;-7;0.330000;8051000;73;0
6;-2;0.480000;6227000;73;0
4;-8;0.330000;7482000;40;0
6;-3;0.290000;5622000;67;0
6;-6;0.330000;4376000;87;1
6;-3;0.300000;7380000;64;0
4;-5;0.470000;8546000;48;0
7;-1;0.430000;4027000;65;0
8;-3;0.420000;8796000;13;0
7;-6;0.340000;7054000;75;0
4;-5;0.450000;8558000;34;0
4;-1;0.490000;7698000;75;0
5;-2;0.260000;4307000;42;0
8;-3;0.350000;4904000;34;0
6;-8;0.470000;7954000;58;1
3;-7;0.450000;6437000;18;0
3;-7;0.380000;6175000;40;0
4;-6;0.470000;4468000;83;0
6;-5;0.430000;7615000;70;0
4;-8;0.370000;8288000;43;0
7;-6;0.360000;4445000;32;1
5;-7;0.470000;7483000;55;0
8;-4;0.470000;7068000;73;1
6;-7;0.450000;8485000;16;0
7;-5;0.350000;8478000;82;0
4;-2;0.430000;4079000;35;0
3;-5;0.220000;4074000;47;0
6;-8;0.200000;5497000;70;0
6;-3;0.440000;4820000;16;0
3;-6;0.200000;4892000;37;0
8;-7;0.340000;5050000;53;1
3;-8;0.380000;6473000;84;0
3;-8;0.320000;7927000;21;0
6;-8;0.450000;8064000;37;1
7;-4;0.430000;4052000;37;0
5;-3;0.340000;5168000;41;0
3;-7;0.370000;7611000;32;0
8;-6;0.460000;7246000;50;1
7;-2;0.290000;7580000;50;0
7;-3;0.330000;4002000;40;0
7;-6;0.330000;5730000;77;1
7;-4;0.300000;7314000;56;0
8;-4;0.450000;5507000;57;0
8;-5;0.240000;7023000;54;0
8;-5;0.420000;5149000;86;0
3;-4;0.370000;7530000;55;0
7;-1;0.460000;7731000;65;0
7;-8;0.280000;5563000;25;0
4;-8;0.220000;6621000;20;0
3;-4;0.220000;5835000;56;0
3;-3;0.250000;8867000;40;0
4;-2;0.340000;4668000;84;0
6;-8;0.390000;4367000;56;0
5;-8;0.220000;6806000;34;0
5;-2;0.220000;6606000;23;0
6;-8;0.240000;4622000;47;0
6;-5;0.260000;4977000;61;0
7;-2;0.460000;7062000;51;0
8;-8;0.200000;6031000;55;0
6;-3;0.400000;7948000;75;0
6;-8;0.380000;6645000;87;0
7;-4;0.280000;6454000;23;0
7;-2;0.490000;7167000;31;0
8;-5;0.320000;5007000;71;0
3;-4;0.450000;7442000;76;0
5;-6;0.350000;7449000;22;0
4;-4;0.460000;6666000;32;0
3;-8;0.310000;4030000;82;0
3;-8;0.440000;6689000;58;0
3;-6;0.440000;8576000;65;0
7;-5;0.390000;8823000;30;0
3;-5;0.310000;7251000;22;0
3;-6;0.220000;7437000;37;0
6;-7;0.340000;5046000;53;1
7;-8;0.370000;5778000;88;1
7;-5;0.240000;7952000;21;0
3;-7;0.400000;8846000;33;0
3;-7;0.200000;8251000;27;0
4;-8;0.330000;5863000;42;0
7;-8;0.290000;5543000;15;0
6;-8;0.290000;7656000;73;0
4;-4;0.470000;6949000;11;0
5;-6;0.230000;7214000;83;0
6;-7;0.340000;8898000;12;0
7;-7;0.390000;7291000;11;0
8;-8;0.320000;8928000;38;0
6;-8;0.280000;6110000;11;0
8;-1;0.420000;5453000;63;0
8;-4;0.470000;5552000;57;0
7;-7;0.440000;4014000;57;1
8;-3;0.380000;8757000;38;0
8;-2;0.370000;7277000;39;0
6;-4;0.220000;5646000;63;0
6;-2;0.260000;8800000;10;0
3;-2;0.440000;5590000;28;0
8;-8;0.350000;8789000;49;0
7;-7;0.330000;4797000;50;0
4;-7;0.290000;5275000;26;0
8;-5;0.400000;8654000;31;0
8;-2;0.250000;4332000;85;0
5;-1;0.470000;7784000;65;0
6;-7;0.260000;7212000;85;0
7;-3;0.370000;6220000;43;0
6;-7;0.250000;5128000;12;0
8;-5;0.400000;5563000;81;0
8;-7;0.250000;6439000;26;0
5;-5;0.210000;6336000;50;0
5;-6;0.280000;6206000;47;0
4;-5;0.220000;5563000;86;0
7;-6;0.380000;8685000;23;0
8;-3;0.420000;6826000;10;0
3;-2;0.280000;4801000;52;0
7;-3;0.490000;8433000;43;0
3;-3;0.320000;6235000;83;0
7;-4;0.340000;6553000;56;0
5;-1;0.460000;7923000;84;0
5;-2;0.440000;8706000;34;0
5;-6;0.290000;6885000;47;0
6;-4;0.390000;8572000;17;0
8;-5;0.200000;7999000;51;0
4;-7;0.250000;4449000;82;0
6;-7;0.200000;4497000;75;0
4;-5;0.320000;8336000;64;0
6;-8;0.400000;4104000;66;1
7;-7;0.450000;8270000;69;1
4;-2;0.400000;8897000;15;0
5;-4;0.360000;7094000;43;0
6;-6;0.470000;6285000;13;0
4;-7;0.230000;6565000;85;0
7;-3;0.320000;4874000;49;0
6;-8;0.490000;8924000;55;1
5;-3;0.490000;8696000;84;0
5;-7;0.340000;4780000;80;1
6;-8;0.460000;7823000;23;0
3;-3;0.300000;6182000;88;0
7;-3;0.240000;5914000;29;0
5;-4;0.400000;6807000;41;0
8;-4;0.310000;4433000;69;0
7;-6;0.490000;5242000;72;1
5;-8;0.210000;8478000;81;0
3;-7;0.320000;6295000;53;0
4;-1;0.370000;5275000;84;0
4;-4;0.460000;6048000;47;0
7;-2;0.410000;4210000;34;0
5;-5;0.290000;7899000;32;0
8;-7;0.400000;4612000;82;0
5;-6;0.380000;5602000;43;0
3;-2;0.380000;5220000;61;0
5;-4;0.320000;4765000;31;0
3;-2;0.210000;7649000;39;0
6;-4;0.380000;6723000;86;0
3;-6;0.270000;4620000;54;0
3;-4;0.490000;5746000;44;0
3;-8;0.410000;4173000;37;0
6;-8;0.340000;8903000;18;0
6;-2;0.410000;6105000;84;0
8;-1;0.360000;5236000;89;0
8;-6;0.470000;4045000;77;1
3;-7;0.270000;5929000;70;0
5;-4;0.400000;8578000;47;0
5;-4;0.360000;6541000;63;0
8;-8;0.430000;8129000;16;0
8;-5;0.240000;5032000;10;0
8;-6;0.330000;7743000;20;0
4;-5;0.200000;4329000;40;0
3;-6;0.440000;5580000;73;1
5;-2;0.330000;6165000;52;0
8;-7;0.440000;7891000;62;1
8;-4;0.360000;6304000;15;0
8;-2;0.450000;6910000;47;0
8;-8;0.470000;4928000;71;1
4;-8;0.250000;5320000;25;0
7;-4;0.320000;5210000;63;0
5;-2;0.370000;5877000;10;0
4;-2;0.370000;5493000;68;0
4;-8;0.400000;5635000;70;0
3;-6;0.340000;8753000;57;0
8;-1;0.230000;4201000;51;0
5;-7;0.240000;5343000;14;0
8;-7;0.250000;6051000;49;0
5;-2;0.390000;8499000;55;0
3;-5;0.260000;7576000;74;0
3;-2;0.240000;7592000;60;0
3;-4;0.460000;8708000;51;0
8;-5;0.220000;6469000;43;0
7;-7;0.350000;8890000;87;0
4;-4;0.480000;8229000;19;0
4;-3;0.450000;6439000;87;0
8;-5;0.400000;7088000;75;0
6;-2;0.330000;7647000;86;0
7;-7;0.210000;5519000;54;0
